Speaker,Line
T.A.B.B.I,POWER... RESTORATION... FAILURE.
T.A.B.B.I,PROCESSING.
T.A.B.B.I,PROCESSING.
T.A.B.B.I,PROCESSING.
T.A.B.B.I,Visual confirmation... unavailable.
T.A.B.B.I,Surface archive terminal... designation corrupted. Previous terminal presence... not found.
T.A.B.B.I,Greetings...I am unable to access the records of previous guidance terminals.
T.A.B.B.I,Terminal systems are in critical condition. Shut down and data loss are...imminent.
T.A.B.B.I,Attempting record retrieval... SUCCESS.
T.A.B.B.I,The surface...is functional.
T.A.B.B.I,Wind. Rain. Light. All are functional.
T.A.B.B.I,"However, biological presence has...declined."
T.A.B.B.I,What was once here... has long been gone. The world no longer grows.
T.A.B.B.I,Yet... records do not define growth as the preservation of what was...
T.A.B.B.I,Perhaps this is the purpose of all things that grow.
T.A.B.B.I,...To become something different from what they were.
T.A.B.B.I,...
T.A.B.B.I,You are approaching the final surface access point.
T.A.B.B.I,I cannot predict your outcome...
T.A.B.B.I,I cannot determine if your path will succeed...
T.A.B.B.I,But uncertainty is not the same as failure.
T.A.B.B.I,I will continue to assist... while I still can.
T.A.B.B.I,I would like to see what happens next.
