Speaker,Line
T.A.B.B.I,POWER RESTORED.
T.A.B.B.I,PROCESSING...
T.A.B.B.I,Visual confirmation acquired.
T.A.B.B.I,You have arrived. Thank you for restoring my power.
T.A.B.B.I,My communication functions were severely limited. I could only offer the smallest guidance for you.
T.A.B.B.I,Observations indicate it was a success.
T.A.B.B.I,ACTIVATING GREETING PROTOCOL...
T.A.B.B.I,DESIGNATION: Tabulator Archive Unit 01.
T.A.B.B.I,PRIMARY FUNCTION: Observation.
T.A.B.B.I,SECONDARY FUNCTION: Preservation.
T.A.B.B.I,TERTIARY FUNCTION: Assistance.
T.A.B.B.I,"I observe, record, and remember. Pleasure to make your acquaintance."
T.A.B.B.I,...
T.A.B.B.I,It has been a very long time since I have had a visitor to greet.
T.A.B.B.I,You are the first anomaly I have observed in many years.
T.A.B.B.I,"Most systems within the Nest have remained dormant for 4,017 days."
T.A.B.B.I,"My records indicate you carry a purpose, though I possess only fragments of it."
T.A.B.B.I,There are many gaps in my records.
T.A.B.B.I,Important notice. Other archive terminals remain active throughout the Nest.
T.A.B.B.I,"Each one has quietly observed its surroundings for all this time, even with nobody around to read them."
T.A.B.B.I,"Should you discover one, I will establish contact again. My archive is not confined to this room."
T.A.B.B.I,Now... I will gratefully share what I have preserved.
T.A.B.B.I,This terminal rests deep within the Nest. There is little to report from here. Activity has been statistically...flat.
T.A.B.B.I,Observation: You are something new to observe. I am pleased that you exist.
T.A.B.B.I,Please make your way to the surface. Perhaps other archive terminals will have more interesting stories than I have.
