Speaker,Line
Shelly,Little one... are you hearing this?
Shelly,"If you are, then it worked...and the conditions have finally aligned.
"
Shelly,I wasn’t sure if they ever would... I’m so glad you’re awake.
Shelly,...No. There’s isn't any time... I need you to listen to me.
Shelly,You cannot stay here. Not anymore.
Shelly,"You already know what you need to do...
"
Shelly,"Find them. Light them.
"
Shelly,I wish I could do more for you… I hoped I could be there.
Shelly,"And you must have so many questions, but..."
Shelly,"I’m not sure I have all the answers anymore.
"
Shelly,I’m sorry...
Shelly,"Um, one last thing. If this world feels heavy...if it all feels wrong..."
Shelly,...just keep moving anyways.
Shelly,This is what it means to grow.
