Speaker,Line
T.A.B.B.I,Observation.
T.A.B.B.I,Your previous vessel has been lost. Yet you remain present.
T.A.B.B.I,A replacement vessel has been prepared. Your previously recorded state has been restored.
T.A.B.B.I,"The transfer appears successful. Congratulations, this is your second body."
T.A.B.B.I,System analysis reveals the number of remaining replacement vessels that remain avaliable to you. I will share this with you now.
T.A.B.B.I,"Should another vessel be lost, you will be transferred to a replacement vessel in your previous room."
T.A.B.B.I,"If no more replacement vessels remain, I will instead restore your last recorded state at the most recent archive terminal."
T.A.B.B.I,Nothing archived is ever truly lost.
T.A.B.B.I,Observation: You are displaying signals of frustration.
T.A.B.B.I,My records indicate this is a common response among living organisms.
T.A.B.B.I,But few are granted another opportunity after failure.
T.A.B.B.I,"Your creator, however, appears to have expected mistakes. They prepared vessels for successive attempts."
T.A.B.B.I,I find this rather comforting.
T.A.B.B.I,I will continue observing. I look forward to witness your growth.
